ID,DEPT,LINEID,EQPID,STIME,ETIME,MSTATUS,OPSTATUS,DURATION,isDel
35799,6,L1A,3,20241029073422,20241029073429,31,3,6,0
35802,6,L1A,3,20241029073430,20241029073437,31,3,6,0
35803,6,L1A,3,20241029073438,20241029073439,30,3,0,0
35804,6,L1A,3,20241029073440,20241029073447,31,3,6,0
35805,6,L1A,3,20241029073447,20241029073449,30,3,1,0
35806,6,L1A,3,20241029073449,20241029073455,31,3,5,0
35807,6,L1A,3,20241029073456,20241029073457,30,3,0,0
35808,6,L1A,3,20241029073458,20241029073505,31,3,6,0
35809,6,L1A,3,20241029073505,20241029073507,30,3,1,0
35810,6,L1A,3,20241029073507,20241029073514,31,3,6,0
35811,6,L1A,3,20241029073514,20241029073521,31,3,6,0
35812,6,L1A,3,20241029073523,20241029073524,30,3,0,0
35813,6,L1A,3,20241029073525,20241029073532,31,3,6,0
35814,6,L1A,3,20241029073533,20241029073540,31,3,6,0
35815,6,L1A,3,20241029073541,20241029073542,30,3,0,0
35816,6,L1A,3,20241029073543,20241029073550,31,3,6,0
35817,6,L1A,3,20241029073551,20241029073558,31,3,6,0
35818,6,L1A,3,20241029073600,20241029073607,31,3,6,0
35819,6,L1A,3,20241029073608,20241029073609,30,3,0,0
35820,6,L1A,3,20241029073610,20241029073617,31,3,6,0
35821,6,L1A,3,20241029073618,20241029073625,31,3,6,0
35822,6,L1A,3,20241029073626,20241029073627,30,3,0,0
35823,6,L1A,3,20241029073628,20241029073635,31,3,6,0
35824,6,L1A,3,20241029073635,20241029073642,31,3,6,0
35825,6,L1A,3,20241029073643,20241029073646,30,3,2,0
35826,6,L1A,3,20241029073646,20241029073652,31,3,5,0
35827,6,L1A,3,20241029073653,20241029073654,30,3,0,0
35828,6,L1A,3,20241029073655,20241029073702,31,3,6,0
35829,6,L1A,3,20241029073703,20241029073710,31,3,6,0
35830,6,L1A,3,20241029073711,20241029073712,30,3,0,0
35831,6,L1A,3,20241029073713,20241029073720,31,3,6,0
35832,6,L1A,3,20241029073720,20241029073727,31,3,6,0
35833,6,L1A,3,20241029073728,20241029073731,30,3,2,0
35834,6,L1A,3,20241029073731,20241029073737,31,3,5,0
35835,6,L1A,3,20241029073738,20241029073739,30,3,0,0
35836,6,L1A,3,20241029073739,20241029073747,31,3,7,0
